# sentence_label=How are you?
# timestamp=1763200485.2153697
# duration_sec=4.0
# sample_rate_hz=20
# total_samples=79
# format: FLEX: f1 f2 f3 f4 f5 | ACC: ax ay az | GYRO: gx gy gz | GDP=val
#
FLEX: 2786 0 2647 2457 2559 | ACC: 2108 15952 -1932 | GYRO: -5608 2023 -8792 | GDP=10622.686
FLEX: 2763 0 2623 2416 2534 | ACC: -1396 16280 1308 | GYRO: -4396 1821 -10459 | GDP=11490.498
FLEX: 2823 2128 2637 2384 2559 | ACC: 1100 15284 -1576 | GYRO: -9173 3117 -14229 | GDP=17214.066
FLEX: 2822 0 2608 2335 2505 | ACC: -4304 15480 3420 | GYRO: -14453 2065 -18973 | GDP=23940.096
FLEX: 2833 0 2672 2320 2510 | ACC: 2328 11088 480 | GYRO: -20857 4034 -28231 | GDP=35330.965
FLEX: 2848 0 2551 2276 2485 | ACC: -5624 6404 6632 | GYRO: -18231 12695 -32768 | GDP=39588.816
FLEX: 2873 0 2534 2277 2513 | ACC: -25392 -2100 7456 | GYRO: -22493 26469 -32287 | GDP=47423.551
FLEX: 2868 0 2526 2266 2459 | ACC: -29140 -5276 10060 | GYRO: 9109 -13732 -3459 | GDP=16837.646
FLEX: 2907 0 2526 2260 2455 | ACC: -13112 4988 2308 | GYRO: -1999 3170 1770 | GDP=4144.611
FLEX: 2862 0 2509 2259 2461 | ACC: -12628 6064 7668 | GYRO: 3550 -2196 1072 | GDP=4309.768
FLEX: 2870 0 2519 2263 2462 | ACC: -11968 4452 5532 | GYRO: 308 2180 -1653 | GDP=2753.121
FLEX: 2852 0 2512 2256 2467 | ACC: -14680 4716 5648 | GYRO: 2740 -1912 -704 | GDP=3414.522
FLEX: 2865 0 2515 2253 2435 | ACC: -15312 4200 5616 | GYRO: -412 1065 -505 | GDP=1248.597
FLEX: 2854 0 2503 2251 2439 | ACC: -15580 4516 5744 | GYRO: 2431 -1123 624 | GDP=2749.594
FLEX: 2847 0 2506 2254 2458 | ACC: -14592 4952 5344 | GYRO: -11 1004 402 | GDP=1081.546
FLEX: 2847 0 2502 2256 2453 | ACC: -14348 4528 6712 | GYRO: 2116 -1435 461 | GDP=2597.923
FLEX: 2843 0 2506 2259 2454 | ACC: -13604 5076 5284 | GYRO: 733 -479 451 | GDP=984.952
FLEX: 2850 0 2505 2256 2447 | ACC: -15656 4472 7320 | GYRO: 907 -832 222 | GDP=1250.663
FLEX: 2833 0 2509 2263 2456 | ACC: -14112 5084 5560 | GYRO: 1040 -999 650 | GDP=1581.803
FLEX: 2831 0 2511 2260 2437 | ACC: -14636 4916 6792 | GYRO: 1381 -2311 555 | GDP=2748.801
FLEX: 2855 0 2502 2275 2453 | ACC: -14284 5288 5936 | GYRO: 319 -170 507 | GDP=622.664
FLEX: 2829 0 2480 2274 2477 | ACC: -14192 5140 6716 | GYRO: 1802 -2257 564 | GDP=2942.677
FLEX: 2859 0 2501 2252 2445 | ACC: -13316 5308 5404 | GYRO: -308 1609 -293 | GDP=1664.210
FLEX: 2835 0 2521 2261 2468 | ACC: -14192 4988 6740 | GYRO: 1022 -1154 167 | GDP=1550.512
FLEX: 2843 0 2499 2272 2485 | ACC: -13856 5296 6484 | GYRO: 1030 -364 230 | GDP=1116.376
FLEX: 2831 0 2512 2259 2447 | ACC: -14128 5048 6520 | GYRO: 836 -403 -63 | GDP=930.201
FLEX: 2858 0 2508 2289 2450 | ACC: -14268 4752 6900 | GYRO: 971 -128 421 | GDP=1066.052
FLEX: 2846 0 2496 2242 2418 | ACC: -14028 5280 6260 | GYRO: 1069 -1113 546 | GDP=1636.962
FLEX: 2871 0 2503 2288 2471 | ACC: -13916 5180 7248 | GYRO: 574 88 99 | GDP=589.085
FLEX: 2887 0 2496 2302 2442 | ACC: -13604 5500 6608 | GYRO: 1077 -1008 304 | GDP=1506.124
