# sentence_label=Rest
# timestamp=1763201234.6122465
# duration_sec=4.0
# sample_rate_hz=20
# total_samples=80
# format: FLEX: f1 f2 f3 f4 f5 | ACC: ax ay az | GYRO: gx gy gz | GDP=val
#
FLEX: 2496 2142 2265 2224 2226 | ACC: 1884 1886 11643 10 | GDP=13046.246
FLEX: 2505 2116 2282 2237 2229 | ACC: 1884 16308 1324 | GYRO: 543 19 121 | GDP=556.643
FLEX: 2497 2138 2287 2197 2243 | ACC: 1860 16284 1280 | GYRO: 697 -93 -45 | GDP=704.615
FLEX: 2498 2141 2289 2223 2260 | ACC: 1864 16304 1188 | GYRO: 675 6 -15 | GDP=675.193
FLEX: 2489 2125 2287 2209 2253 | ACC: 1804 16288 1124 | GYRO: 555 -234 -63 | GDP=605.599
FLEX: 2496 2126 2283 2219 2256 | ACC: 1688 16296 1404 | GYRO: 530 18 -40 | GDP=531.812
FLEX: 2511 2139 2279 2224 2246 | ACC: 1724 16284 1368 | GYRO: 451 -6 -7 | GDP=451.094
FLEX: 2512 2125 2279 2224 2246 | ACC: 1948 16220 1260 | GYRO: 492 -56 -68 | GDP=499.824
FLEX: 2493 2147 2298 2225 2240 | ACC: 1744 16236 1432 | GYRO: 589 -99 -29 | GDP=597.966
FLEX: 2494 2128 2266 2245 2242 | ACC: 1768 16300 1320 | GYRO: 615 -20 -80 | GDP=620.504
FLEX: 2469 2118 2285 2235 2267 | ACC: 1792 16316 1160 | GYRO: 589 24 -24 | GDP=589.977
FLEX: 2559 2173 2274 2192 2287 | ACC: 1700 16236 1220 | GYRO: -72 -238 59 | GDP=255.556
FLEX: 2496 2141 2299 2225 2283 | ACC: 1928 16232 1280 | GYRO: 283 -24 31 | GDP=285.703
FLEX: 2492 2141 2292 2215 2213 | ACC: 1776 16180 1600 | GYRO: 676 -9 22 | GDP=676.418
FLEX: 2506 2153 2281 2225 2269 | ACC: 1812 16272 1632 | GYRO: 702 53 -6 | GDP=704.023
FLEX: 2497 2142 2265 2221 2252 | ACC: 1820 16248 1404 | GYRO: 869 -155 -35 | GDP=883.409
FLEX: 2491 2141 2267 2221 2251 | ACC: 1652 16352 1444 | GYRO: 700 19 -10 | GDP=700.329
FLEX: 2494 2144 2278 2211 2259 | ACC: 1856 16260 1268 | GYRO: 683 25 68 | GDP=686.832
FLEX: 2484 2140 2285 2219 2266 | ACC: 1872 16324 1396 | GYRO: 582 -229 33 | GDP=626.302
FLEX: 2510 2131 2263 2219 2247 | ACC: 1820 16292 1684 | GYRO: 674 11 -60 | GDP=676.755
FLEX: 2511 2189 2269 2193 2265 | ACC: 1824 16328 1296 | GYRO: 568 43 -103 | GDP=578.863
FLEX: 2480 2127 2279 2251 2255 | ACC: 1644 16344 1364 | GYRO: 666 13 24 | GDP=666.559
FLEX: 2498 2157 2299 2229 2250 | ACC: 1776 16220 1472 | GYRO: 573 -106 43 | GDP=584.306
FLEX: 2491 2127 2256 2204 2240 | ACC: 1832 16240 1480 | GYRO: 676 123 -6 | GDP=687.125
FLEX: 2512 2162 2309 2247 2239 | ACC: 1988 16344 1308 | GYRO: 669 -217 -47 | GDP=704.882
FLEX: 2483 2141 2262 2218 2261 | ACC: 1752 16312 1360 | GYRO: 613 111 -73 | GDP=627.231
FLEX: 2511 2111 2268 2224 2224 | ACC: 1776 16312 1456 | GYRO: 653 -55 17 | GDP=655.533
FLEX: 2501 2147 2264 2225 2256 | ACC: 1712 16276 1424 | GYRO: 541 -56 -2 | GDP=543.894
FLEX: 2506 2155 2291 2227 2244 | ACC: 1780 16208 1424 | GYRO: 635 -13 24 | GDP=635.586
